"crim","zn","indus","chas","nox","rm","age","dis","rad","tax","ptratio","black","lstat","medv"
0.035919,97.5,3.835,0,0.5564,8.5735,28.34,7.02143,3.9,327.6,23.79,514.319,5.616,40.04
0.043667,97.5,3.835,0,0.5564,9.1312,20.54,7.02143,3.9,327.6,23.79,514.306,2.574,45.37
0.165672,0,8.983,0,0.5824,8.801,3.77,7.43717,3.9,302.9,23.27,501.033,6.292,34.58
0.18395,0,8.983,0,0.5824,8.0197,8.58,7.43717,3.9,302.9,23.27,498.381,7.553,32.89
0.207168,0,8.983,0,0.5824,8.0743,8.45,7.43717,3.9,302.9,23.27,512.798,9.672,32.11
0.159497,0,8.983,0,0.5824,7.8897,52,7.43717,3.9,302.9,23.27,506.207,12.415,27.56
0.222846,0,8.983,0,0.5824,7.3866,43.94,6.63052,3.9,302.9,23.27,515.97,13.273,25.09
0.244868,0,8.983,0,0.5824,7.5218,43.29,6.63052,3.9,302.9,23.27,515.97,18.395,26
0.298051,0,8.983,0,0.5824,7.839,111.15,7.39622,3.9,302.9,23.27,510.562,24.44,21.58
0.330031,0,8.983,0,0.5824,7.0187,123.89,7.631,3.9,302.9,23.27,515.97,40.053,18.72
0.285701,0,8.983,0,0.5824,7.2826,80.6,7.91401,3.9,302.9,23.27,515.97,21.06,25.22
0.115349,27.3,7.332,0,0.5707,7.7519,59.41,8.85911,5.2,315.9,21.84,514.228,17.485,25.61
0.056381,27.3,7.332,0,0.5707,7.9495,81.9,8.85911,5.2,315.9,21.84,512.161,12.259,26.65
0.06968,27.3,7.332,0,0.5707,8.4643,27.43,8.85911,5.2,315.9,21.84,515.97,6.864,32.5
0.064753,27.3,7.332,0,0.5707,7.7974,27.82,8.85911,5.2,315.9,21.84,515.97,10.959,30.42
0.01768,97.5,5.2,0,0.533,7.6544,61.88,9.51561,3.9,609.7,27.43,515.97,19.24,24.57
0.017043,117,1.586,0,0.5239,9.4237,28.47,11.30558,6.5,293.8,23.27,514.709,6.253,46.02
0.026715,110.5,0.962,0,0.533,8.2979,46.41,11.94388,2.6,406.9,22.49,515.97,7.501,32.11
0.018616,130,1.716,0,0.5343,8.8608,52.65,10.82224,6.5,332.8,19.63,510.77,5.135,41.08
0.200785,32.5,6.669,0,0.5889,7.9885,37.96,10.15924,10.4,369.2,25.61,507.884,8.918,30.29
0.134264,32.5,6.669,0,0.5889,7.7051,61.36,9.0116,10.4,369.2,25.61,515.97,11.986,25.48
0.194116,32.5,6.669,0,0.5889,7.4633,86.06,9.39302,10.4,369.2,25.61,513.643,17.095,24.31
0.223223,32.5,6.669,0,0.5889,7.7558,121.42,8.86405,10.4,369.2,25.61,491.504,18.772,20.8
0.143351,32.5,6.669,0,0.5889,8.3928,88.14,9.39315,10.4,369.2,25.61,515.97,8.749,28.86
0.16445,32.5,6.669,0,0.5889,8.7906,56.42,10.37517,10.4,369.2,25.61,514.254,12.35,32.5
0.025363,22.75,1.794,0,0.54093,9.2352,77.35,11.98977,3.9,280.8,24.18,511.212,10.465,42.9
0.046592,104,4.381,0,0.5174,8.177,23.14,8.59495,5.2,438.1,20.93,515.97,6.071,30.55
0.056927,104,4.381,0,0.5174,7.5231,40.43,8.59495,5.2,438.1,20.93,515.97,13.312,25.22
0.075257,16.25,7.891,0,0.5317,7.6414,27.82,8.4474,5.2,448.5,24.57,515.073,10.53,28.6
0.176202,16.25,7.891,0,0.5317,7.2722,47.84,8.4474,5.2,448.5,24.57,515.97,17.017,22.62
0.166608,16.25,7.891,0,0.5317,7.6505,42.9,8.4474,5.2,448.5,24.57,515.97,11.427,27.17
0.114738,0,14.053,0,0.5369,8.3421,8.58,6.87349,5.2,396.5,24.96,498.849,8.736,31.46
0.206388,0,14.053,0,0.5369,7.7493,22.75,6.87349,5.2,396.5,24.96,490.022,12.844,28.21
0.119132,0,14.053,0,0.5369,7.8845,10.14,6.87349,5.2,396.5,24.96,508.183,7.176,29.64
0.254007,0,14.053,0,0.5369,8.1185,8.06,6.87349,5.2,396.5,24.96,490.321,9.802,30.42
0.102648,0,16.679,0,0.5681,8.1549,7.8,5.52695,6.5,517.4,24.31,513.396,8.814,31.33
0.123656,0,16.679,0,0.5681,8.1718,58.5,5.85338,6.5,517.4,24.31,498.199,11.622,27.82
0.131989,0,16.679,0,0.5681,8.1627,96.85,5.26786,6.5,517.4,24.31,485.758,15.561,26
0.113191,0,16.679,0,0.5681,7.982,59.54,5.31765,6.5,517.4,24.31,503.048,13.351,27.04
0.073398,0,16.679,0,0.5681,8.1016,69.81,6.51833,6.5,517.4,24.31,502.32,16.042,27.56
0.109031,0,16.679,0,0.5681,7.6362,47.58,5.85338,6.5,517.4,24.31,514.878,11.83,26.39
0.053469,32.5,6.318,0,0.5538,8.7451,43.55,7.02091,5.2,365.3,24.7,515.97,6.877,36.4
0.058006,32.5,6.318,0,0.5538,8.6047,91.52,7.02091,5.2,365.3,24.7,514.319,9.386,31.07
0.047567,32.5,6.318,0,0.5538,8.1926,41.86,7.02091,5.2,365.3,24.7,515.97,8.736,32.24
0.046163,32.5,6.318,0,0.5538,8.0171,60.71,7.02091,5.2,365.3,24.7,507.832,9.763,29.77
0.065767,0,5.837,0,0.5837,8.3057,62.4,6.21322,3.9,321.1,24.05,515.97,12.506,31.07
0.074555,0,5.837,0,0.5837,8.619,72.93,5.76901,3.9,321.1,24.05,509.99,8.489,34.58
0.067444,0,5.837,0,0.5837,7.8195,58.63,5.75536,3.9,321.1,24.05,514.787,16.718,29.25
0.092963,0,5.837,0,0.5837,7.9573,73.84,4.87188,3.9,321.1,24.05,513.695,10.972,28.86
0.07358,0,4.433,0,0.6357,9.1091,112.19,4.44821,2.6,351,23.14,515.97,7.15,30.68
0.068926,0,4.433,0,0.6357,9.2027,82.03,4.43885,2.6,351,23.14,514.878,7.41,37.31
0.060892,0,4.433,0,0.6357,8.3421,85.93,4.01999,2.6,351,23.14,509.834,11.453,29.38
0.051116,0,4.433,0,0.6357,8.3265,96.07,4.01973,2.6,351,23.14,511.615,10.66,28.6
0.054639,36.4,19.552,0,0.6032,8.3746,69.68,4.76567,5.2,351,23.66,513.513,10.608,29.77
0.037375,36.4,19.552,0,0.6032,8.0743,37.57,4.76567,5.2,351,23.66,515.229,8.073,32.5
0.055822,36.4,19.552,0,0.6032,8.1237,100.49,4.6995,5.2,351,23.66,515.97,13.767,26.78
0.158652,0,3.757,0,0.5785,8.6125,75.14,4.54376,2.6,358.8,23.4,465.374,8.645,36.92
0.149552,0,3.757,0,0.5785,8.0119,90.48,4.54376,2.6,358.8,23.4,509.379,14.742,27.82
0.157079,0,3.757,0,0.5785,10.4897,98.8,4.54376,2.6,358.8,23.4,515.97,5.473,50.31
0.106431,0,3.757,0,0.5785,10.166,47.97,4.54376,2.6,358.8,23.4,511.589,4.641,56.94
0.08918,0,3.757,0,0.5785,9.6408,81.25,4.54376,2.6,358.8,23.4,515.97,8.047,43.16
0.193258,0,11.128,0,0.676,8.7451,103.87,3.61114,6.5,499.2,27.17,513.188,12.246,35.75
0.148616,0,11.128,0,0.676,8.8153,92.69,3.71293,6.5,499.2,27.17,514.254,9.971,34.45
0.297388,0,11.128,0,0.676,8.3265,111.02,3.52911,6.5,499.2,27.17,92.04,13.819,24.18
0.275093,0,11.128,0,0.676,7.9781,113.62,3.52911,6.5,499.2,27.17,512.811,17.472,25.09
0.18148,0,11.128,0,0.676,8.0171,117,3.1473,6.5,499.2,27.17,510.497,16.029,26.13
0.172406,0,11.128,0,0.676,7.6063,125.71,2.73897,6.5,499.2,27.17,512.265,21.411,25.35
0.22256,0,11.128,0,0.676,7.5868,119.47,2.8743,6.5,499.2,27.17,514.371,24.258,25.35
0.170521,0,11.128,0,0.676,7.9651,110.76,2.75912,6.5,499.2,27.17,503.997,18.317,26.52
0.166426,0,11.128,0,0.676,8.4162,126.23,3.16277,6.5,499.2,27.17,513.812,15.951,25.74
0.342719,0,11.128,0,0.676,8.0977,118.56,3.30863,6.5,499.2,27.17,508.599,20.215,25.22
0.140309,0,11.128,0,0.676,8.0535,70.72,3.61114,6.5,499.2,27.17,511.537,16.9,28.21
0.131092,0,13.013,0,0.7111,8.7295,106.08,3.48075,7.8,561.6,23.14,514.267,13.208,29.64
0.160277,0,13.013,0,0.7111,7.6869,120.77,3.05942,7.8,561.6,23.14,513.435,21.073,24.44
0.288756,0,13.013,0,0.7111,7.9196,124.02,3.3124,7.8,561.6,23.14,515.97,22.217,24.31
0.185003,0,13.013,0,0.7111,8.1302,109.46,2.93345,7.8,561.6,23.14,505.362,13.585,24.05
0.222742,0,13.013,0,0.7111,7.7064,114.66,3.20203,7.8,561.6,23.14,448.383,20.488,23.79
0.171054,0,13.013,0,0.7111,8.0288,94.25,3.54913,7.8,561.6,23.14,511.29,15.652,27.56
0.196274,0,13.013,0,0.7111,7.8273,107.38,3.57162,7.8,561.6,23.14,512.863,13.39,24.96
0.169754,0,13.013,0,0.7111,7.6336,95.03,3.22075,7.8,561.6,23.14,440.219,19.981,26.52
0.188188,0,13.013,0,0.7111,7.4503,84.76,3.58696,7.8,561.6,23.14,508.95,17.693,25.09
0.089687,0,33.345,0,0.7553,7.631,90.61,2.93501,2.6,244.4,24.83,505.895,18.681,28.6
0.093145,0,33.345,0,0.7553,7.8052,109.33,2.85662,2.6,244.4,24.83,490.971,18.551,26.39
0.120887,0,33.345,0,0.7553,7.7493,120.77,2.71297,2.6,244.4,24.83,491.517,23.309,26.65
0.195494,0,33.345,0,0.7553,7.6128,126.1,2.52772,2.6,244.4,24.83,481.403,33.033,22.49
0.128037,0,33.345,0,0.7553,7.6427,124.54,2.60819,2.6,244.4,24.83,493.194,22.854,24.44
0.219726,0,33.345,0,0.7553,7.7818,114.92,2.59077,2.6,244.4,24.83,500.526,19.253,27.82
0.503555,0,33.345,0,0.7553,7.2969,124.28,2.28436,2.6,244.4,24.83,467.077,35.438,20.41
0.336895,0,28.457,0,0.8112,7.4009,124.8,2.32479,5.2,568.1,27.56,509.743,22.347,21.06
0.423059,0,28.457,0,0.8112,8.3603,128.44,2.35625,5.2,568.1,27.56,515.97,20.007,23.4
1.145625,0,28.457,0,0.8112,7.3281,123.11,2.57387,5.2,568.1,27.56,515.97,23.842,18.59
0.442078,0,28.457,0,0.8112,8.3954,128.57,2.75405,5.2,568.1,27.56,513.552,16.38,24.96
1.550822,0,28.457,0,0.8112,8.2238,127.01,2.9523,5.2,568.1,27.56,515.97,15.938,25.48
0.767065,0,28.457,0,0.8112,8.2836,127.27,3.02562,5.2,568.1,27.56,501.488,14.456,29.9
0.428766,0,28.457,0,0.8112,7.5686,124.02,3.21087,5.2,568.1,27.56,505.297,19.539,23.92
1.269021,0,28.457,0,0.8112,7.4841,127.92,3.0498,5.2,568.1,27.56,341.588,22.503,20.28
0.725114,0,28.457,0,0.8112,8.2355,127.66,2.74391,5.2,568.1,27.56,513.071,22.048,23.53
0.419432,0,28.457,0,0.8112,7.7246,121.55,2.55697,5.2,568.1,27.56,491.725,21.97,22.62
0.458029,0,28.457,0,0.8112,8.3902,127.92,2.40474,5.2,568.1,27.56,512.304,18.967,22.23
0.32474,0,28.457,0,0.8112,7.6141,127.66,2.16918,5.2,568.1,27.56,509.652,27.716,17.29
0.707876,0,28.457,0,0.8112,7.9963,127.27,2.16931,5.2,568.1,27.56,515.97,23.998,23.14
0.37817,0,28.457,0,0.8112,8.0262,121.68,2.09547,5.2,568.1,27.56,504.504,31.408,18.2
2.117232,0,28.457,0,0.8112,6.5247,130,1.87122,5.2,568.1,27.56,515.97,44.733,18.72
4.317365,0,25.454,1.3,1.1323,7.0239,130,1.71808,6.5,523.9,19.11,515.97,34.866,17.42
5.32662,0,25.454,0,1.1323,7.1084,130,1.83534,6.5,523.9,19.11,515.97,34.346,20.28
3.613662,0,25.454,0,1.1323,6.3739,127.14,1.74967,6.5,523.9,19.11,515.97,38.077,15.34
3.093142,0,25.454,0,1.1323,7.969,130,1.84483,6.5,523.9,19.11,224.783,36.14,17.94
2.801565,0,25.454,0,1.1323,7.3164,130,1.97158,6.5,523.9,19.11,220.051,21.645,20.28
3.079206,0,25.454,0,1.1323,6.4038,124.41,1.89904,6.5,523.9,19.11,509.223,38.389,18.98
3.030287,0,25.454,0,1.1323,6.7418,121.94,1.98848,6.5,523.9,19.11,464.087,36.816,23.14
3.554161,0,25.454,0,1.1323,7.2761,123.37,1.98341,6.5,523.9,19.11,457.405,27.885,20.02
2.15358,0,25.454,0,1.1323,7.9586,126.49,2.1034,6.5,523.9,19.11,484.64,18.33,27.95
1.945216,0,25.454,0,1.1323,7.0252,130,2.06908,6.5,523.9,19.11,444.08,17.264,25.48
1.464554,0,25.454,1.3,1.1323,6.5156,114.4,2.09326,6.5,523.9,19.11,446.264,15.756,19.89
2.793934,0,25.454,0,1.1323,7.4217,128.05,2.11016,6.5,523.9,19.11,340.535,20.527,25.22
1.838005,0,25.454,1.3,1.1323,7.9677,124.8,2.27422,6.5,523.9,19.11,417.326,19.656,22.1
4.595513,0,25.454,1.3,1.1323,7.9976,107.38,2.26915,6.5,523.9,19.11,114.413,19.526,20.28
3.180684,0,25.454,0,1.1323,6.8536,122.2,2.25732,6.5,523.9,19.11,115.219,20.982,17.03
1.590654,0,25.454,0,0.7865,9.0259,126.62,2.44049,6.5,523.9,19.11,472.459,5.967,53.69
1.745692,0,25.454,0,0.7865,7.8858,130,2.28449,6.5,523.9,19.11,460.057,8.359,31.59
1.852526,0,25.454,0,1.1323,8.463,130,2.29567,6.5,523.9,19.11,473.603,9.607,30.29
1.655498,0,25.454,1.3,0.7865,8.125,120.38,2.33792,6.5,523.9,19.11,440.596,7.15,35.1
1.902368,0,25.454,0,0.7865,9.7357,118.04,2.56217,6.5,523.9,19.11,486.759,2.249,65
2.383901,0,25.454,1.3,0.7865,10.1426,127.66,2.65291,6.5,523.9,19.11,506.493,2.496,65
1.974726,0,25.454,1.3,0.7865,10.8875,122.07,2.8106,6.5,523.9,19.11,504.985,4.316,65
2.915068,0,25.454,0,0.7865,7.6102,119.34,3.1486,6.5,523.9,19.11,513.643,15.132,29.51
3.8012,0,25.454,0,0.7865,7.9313,120.9,2.96842,6.5,523.9,19.11,312.208,12.753,32.5
2.613247,0,25.454,0,0.7865,10.3077,125.06,2.65967,6.5,523.9,19.11,480.09,4.81,65
2.340364,0,25.454,0,0.7865,7.6401,102.96,3.15367,6.5,523.9,19.11,295.893,15.782,30.94
2.99052,0,25.454,0,0.7865,8.2147,124.93,2.73,6.5,523.9,19.11,386.217,14.43,30.94
3.184389,0,25.454,0,0.7865,8.3226,123.76,2.94125,6.5,523.9,19.11,429.052,14.716,28.99
1.569646,0,25.454,0,0.7865,7.6375,122.98,3.15367,6.5,523.9,19.11,379.977,18.759,22.62
3.00807,0,25.454,0,0.7865,7.644,126.49,3.10531,6.5,523.9,19.11,452.569,15.639,24.83
0.180882,0,5.265,0,0.663,7.2436,115.05,3.37493,6.5,384.8,21.58,515.97,19.097,30.03
0.119314,0,5.265,0,0.663,8.3408,109.33,3.44019,6.5,384.8,21.58,514.15,11.752,30.68
0.109811,0,5.265,0,0.663,7.6167,89.31,3.51247,6.5,384.8,21.58,511.199,12.532,29.38
0.086632,0,5.265,0,0.663,8.5098,43.03,4.07199,6.5,384.8,21.58,508.248,6.929,38.22
0.091286,0,5.265,0,0.663,7.826,61.36,4.62137,6.5,384.8,21.58,511.199,13.143,30.16
0.070525,0,5.265,0,0.663,8.2095,95.42,4.31275,6.5,384.8,21.58,514.28,8.177,31.98
0.086346,0,5.265,0,0.663,8.918,96.72,3.78989,6.5,384.8,21.58,508.651,8.996,38.87
0.07514,0,3.198,0,0.6344,9.074,75.92,3.6777,3.9,250.9,23.14,515.97,6.552,48.36
0.085644,0,3.198,0,0.6344,10.0945,108.29,3.5633,3.9,250.9,23.14,514.228,9.828,51.74
0.089544,0,3.198,0,0.6344,7.9872,80.86,3.37727,3.9,250.9,23.14,515.97,12.285,47.06
0.118339,0,3.198,0,0.6344,9.3015,119.86,3.51078,3.9,250.9,23.14,512.356,6.266,49.27
0.130104,0,3.198,0,0.6344,8.5319,124.28,3.7011,3.9,250.9,23.14,515.97,7.384,42.25
0.108004,0,3.198,0,0.6344,7.2852,116.74,3.88427,3.9,250.9,23.14,508.3,18.174,34.32
0.078611,0,3.198,0,0.6344,7.9989,89.44,4.26361,3.9,250.9,23.14,503.243,17.095,38.48
0.072826,0,3.198,0,0.6344,10.1803,69.68,4.15896,3.9,250.9,23.14,510.419,5.785,65
0.102375,58.5,4.472,0,0.5681,8.8166,53.43,4.92518,6.5,517.4,19.76,512.031,8.684,41.6
0.163527,58.5,4.472,0,0.5681,8.5228,37.83,5.93671,6.5,517.4,19.76,497.692,5.928,38.74
0.10881,58.5,4.472,0,0.5681,9.3405,50.57,5.93671,6.5,517.4,19.76,515.97,7.007,45.37
0.117884,58.5,4.472,0,0.5681,9.0363,27.95,8.42374,6.5,517.4,19.76,490.984,6.63,48.1
0.089843,58.5,4.472,0,0.5681,8.7607,40.04,8.42374,6.5,517.4,19.76,506.623,6.097,39.65
0.112632,58.5,4.472,0,0.5681,9.3314,34.19,8.42374,6.5,517.4,19.76,507.637,3.731,47.32
0.028431,78,3.809,0,0.5213,8.84,12.87,8.08548,1.3,344.5,20.28,511.381,6.539,40.43
0.018707,78,3.809,0,0.5213,8.5852,24.44,8.08548,1.3,344.5,20.28,489.71,5.694,37.83
0.017953,104,0.598,0,0.5486,10.2375,41.6,7.34292,5.2,331.5,18.72,512.499,3.861,65
0.052143,104,1.976,0,0.5252,9.4731,44.33,9.5017,2.6,427.7,16.38,515.97,5.304,43.29
0.060658,104,1.976,0,0.5252,9.2391,47.58,9.5017,2.6,427.7,16.38,460.603,11.193,39.39
0.048984,104,1.976,0,0.5252,9.4562,49.79,9.5017,2.6,427.7,16.38,509.86,8.606,44.98
0.04095,123.5,1.911,0,0.5239,9.0675,19.89,9.94942,3.9,522.6,22.1,515.97,5.928,45.37
0.023114,123.5,1.911,0,0.5239,9.2755,18.07,9.94942,3.9,522.6,22.1,499.59,5.785,42.77
0.044785,107.25,2.639,0,0.5395,8.0106,49.92,8.151,2.6,452.4,19.11,511.901,9.659,31.33
0.028301,107.25,2.639,0,0.5395,9.893,20.41,8.151,2.6,452.4,19.11,513.994,4.043,54.99
0.04563,123.5,3.484,0,0.54093,10.2089,43.16,6.6534,5.2,291.2,19.11,510.614,4.953,63.05
0.026117,123.5,3.484,0,0.54093,10.4442,41.47,6.6534,5.2,291.2,19.11,507.715,3.744,65
0.177346,0,13.767,0,0.6357,7.6583,28.99,5.12902,5.2,360.1,24.18,515.97,14.131,29.38
0.298597,0,13.767,0,0.6357,8.2238,68.25,5.66137,5.2,360.1,24.18,513.331,14.261,31.72
0.327587,0,13.767,0,0.6357,7.5179,94.51,5.66137,5.2,360.1,24.18,506.259,23.478,29.25
0.176631,0,13.767,1.3,0.6357,7.8832,76.83,5.51096,5.2,360.1,24.18,495.716,19.058,31.72
0.566423,0,13.767,1.3,0.6357,6.9472,130,5.0375,5.2,360.1,24.18,515.97,30.017,26
0.226798,0,13.767,1.3,0.6357,7.748,119.73,5.04023,5.2,360.1,24.18,511.225,22.451,28.21
0.488514,0,13.767,1.3,0.6357,7.0252,115.18,4.7645,5.2,360.1,24.18,513.812,31.174,25.09
0.282347,0,13.767,1.3,0.6357,7.5491,69.94,4.74838,5.2,360.1,24.18,508.222,20.839,29.12
0.182676,0,13.767,0,0.6357,8.2875,41.99,5.12902,5.2,360.1,24.18,501.553,12.194,36.53
0.376415,0,13.767,0,0.6357,7.0356,12.74,4.66375,5.2,360.1,24.18,453.609,38.415,30.81
0.257426,0,13.767,0,0.6357,8.0366,55.12,5.12902,5.2,360.1,24.18,511.719,12.311,32.5
0.05928,0,18.057,1.3,0.715,7.6544,72.8,4.04573,6.5,358.8,21.32,510.64,17.563,30.29
0.091169,0,18.057,0,0.715,8.6346,110.63,4.44743,6.5,358.8,21.32,510.614,12.597,37.31
0.143897,0,18.057,1.3,0.715,7.7363,121.94,3.75609,6.5,358.8,21.32,515.97,23.296,27.95
0.148525,0,18.057,1.3,0.715,8.2849,120.12,4.37229,6.5,358.8,21.32,511.862,13.65,29.9
0.465517,0,8.06,1.3,0.6591,9.0363,115.05,3.72021,10.4,399.1,22.62,509.21,12.623,34.71
0.530023,0,8.06,1.3,0.6591,8.0132,118.69,3.9624,10.4,399.1,22.62,513.812,27.898,28.21
0.810628,0,8.06,1.3,0.6591,8.9427,101.01,4.25373,10.4,399.1,22.62,507.507,12.909,35.75
0.79911,0,8.06,0,0.6591,8.6034,105.04,4.25373,10.4,399.1,22.62,515.97,9.88,39.13
0.409929,0,8.06,0,0.6552,10.7458,101.79,3.76272,10.4,399.1,22.62,500.565,5.382,58.24
0.685009,0,8.06,0,0.6552,11.3425,107.9,3.76272,10.4,399.1,22.62,496.6,6.019,65
0.496782,0,8.06,0,0.6552,10.452,112.45,4.18041,10.4,399.1,22.62,503.594,4.069,48.88
0.536094,0,8.06,0,0.6552,9.3119,103.87,4.18041,10.4,399.1,22.62,483.704,8.268,41.08
0.387647,0,8.06,0,0.6552,9.9918,22.1,4.38763,10.4,399.1,22.62,490.763,5.096,60.71
0.574314,0,8.06,0,0.6552,8.5176,27.82,4.38763,10.4,399.1,22.62,494.442,4.888,40.95
0.6981,0,8.06,0,0.6552,7.7753,88.53,4.77295,10.4,399.1,22.62,491.855,15.145,31.59
0.601848,0,8.06,0,0.6552,9.6356,99.97,4.77295,10.4,399.1,22.62,488.982,6.825,41.21
0.747877,0,8.06,0,0.6591,10.8381,95.29,4.98992,10.4,399.1,22.62,501.683,3.211,54.21
0.430911,0,8.06,0,0.6591,10.7211,91.52,4.74747,10.4,399.1,22.62,492.635,5.135,62.79
0.582283,0,8.06,1.3,0.6591,8.7438,86.45,4.74747,10.4,399.1,22.62,468.26,10.465,37.7
0.429585,0,8.06,0,0.6591,7.9118,79.95,4.74747,10.4,399.1,22.62,489.775,14.144,31.2
0.676754,0,8.06,1.3,0.6591,8.6203,99.45,5.3924,10.4,399.1,22.62,504.985,12.402,32.63
0.665379,0,8.06,0,0.6591,9.5654,93.08,5.3924,10.4,399.1,22.62,507.091,6.149,40.95
0.107172,39,6.409,0,0.5564,8.4253,24.05,8.04687,7.8,390,21.58,493.233,8.268,30.81
0.120276,39,6.409,0,0.5564,8.5878,54.86,8.04687,7.8,390,21.58,498.914,9.581,30.29
0.147277,39,6.409,0,0.5564,8.9661,70.59,8.23693,7.8,390,21.58,508.625,14.794,28.6
0.137956,39,6.409,0,0.5564,7.9235,84.63,8.23693,7.8,390,21.58,513.006,16.12,26.13
0.13377,39,6.409,0,0.5564,8.2654,68.77,9.14615,7.8,390,21.58,484.575,14.586,28.86
0.165841,39,6.409,0,0.5564,8.3109,10.14,9.14615,7.8,390,21.58,487.123,6.747,30.81
0.267904,28.6,7.618,0,0.5603,7.2709,99.45,10.34137,9.1,429,24.83,484.237,16.25,22.88
0.248729,28.6,7.618,0,0.5603,7.2865,91.26,10.34137,9.1,429,24.83,505.869,23.998,24.05
0.441779,28.6,7.618,0,0.5603,7.9404,45.37,10.47215,9.1,429,24.83,507.234,11.908,31.59
0.255541,28.6,7.618,0,0.5603,8.0938,102.96,10.47215,9.1,429,24.83,488.982,13.195,26.65
